Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Johnny B. Goode,Chuck Berry,blues,1959,168,80,53,-9,31,97,162,74,7,79
2,Beyond the Sea,Bobby Darin,adult standards,1959,136,52,52,-7,26,57,172,72,4,71
3,Unforgettable,Nat King Cole,adult standards,1954,136,18,35,-14,14,18,192,92,3,71
4,I've Got a Woman,Ray Charles,soul,1957,199,61,56,-5,26,67,171,83,21,71
5,Great Balls Of Fire,Jerry Lee Lewis,rock,1961,79,73,53,-7,16,88,112,56,7,71
6,We Belong Together,Ritchie Valens,rock,1959,107,25,68,-14,11,77,117,87,3,70
7,All I Have to Do Is Dream,The Everly Brothers,adult standards,1964,96,46,53,-8,13,53,143,84,3,70
8,Dream A Little Dream Of Me,Louis Armstrong,adult standards,1968,96,19,46,-18,12,41,197,60,5,69
9,Everyday,Buddy Holly,rock,1958,136,22,75,-13,11,50,129,58,4,69
10,Jailhouse Rock,Elvis Presley,rock,1958,167,58,65,-10,7,92,146,41,8,69
11,La Bamba - Single Version,Ritchie Valens,rock,1959,75,81,52,-6,30,94,127,79,5,69
12,Only You (And You Alone),The Platters,adult standards,1986,81,33,42,-10,10,32,160,93,3,68
13,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,adult standards,1956,127,25,59,-13,11,59,224,45,4,68
14,Volare (Nel Blu Di Pinto Di Blu) - Remastered 1998,Dean Martin,adult standards,1958,129,14,61,-12,20,34,182,88,4,68
15,Banana Boat (Day-O),Harry Belafonte,jazz,1956,123,11,80,-17,11,42,183,89,10,67
16,I Fall In Love Too Easily,Chet Baker,jazz,1956,129,7,53,-19,9,29,201,94,4,67
17,Come Fly With Me - Remastered 1998,Frank Sinatra,adult standards,1958,67,34,57,-11,17,49,199,85,4,67
18,Summertime,Ella Fitzgerald,adult standards,1958,168,7,17,-21,14,10,298,92,3,67
19,Hound Dog,Elvis Presley,rock,1958,87,76,49,-8,76,95,136,73,5,67
20,What A Diff'rence A Day Made,Dinah Washington,jazz,1959,94,12,39,-18,11,17,152,93,3,67
21,"Hallelujah, I Love Her So",Ray Charles,soul,1957,73,55,70,-6,16,62,156,79,17,67
22,Blue Suede Shoes,Elvis Presley,rock,1956,95,66,56,-8,14,96,119,65,6,67
23,Tutti Frutti,Little Richard,blues,1957,185,66,56,-4,12,94,144,79,5,67
24,I Only Have Eyes for You,The Flamingos,blues,1959,89,31,55,-12,12,30,203,92,3,66
25,My Funny Valentine,Chet Baker,jazz,1956,133,1,44,-26,11,28,141,94,4,66
26,Blue Moon,Billie Holiday,adult standards,1956,125,27,64,-11,14,54,208,98,7,66
27,Smoke Gets In Your Eyes,The Platters,adult standards,1959,171,30,20,-11,17,28,161,92,3,66
28,Summertime Blues,Eddie Cochran,rock,1960,156,89,71,-9,18,95,119,12,6,66
29,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,rock,1955,91,86,81,-6,8,78,130,21,17,66
30,You Make Me Feel So Young - Remastered 1998,Frank Sinatra,adult standards,1956,125,31,58,-12,18,57,177,38,4,65
31,Mannish Boy,Muddy Waters,blues,1977,111,74,60,-11,68,62,321,44,10,65
32,Long Tall Sally (The Thing),Little Richard,blues,1957,185,61,47,-5,9,89,127,76,8,65
33,Mack the Knife,Bobby Darin,adult standards,1959,83,53,55,-12,21,46,184,76,11,64
34,The Great Pretender,The Platters,adult standards,1986,116,40,43,-9,7,53,161,94,3,64
35,Wake up Little Susie,The Everly Brothers,adult standards,1964,94,62,71,-9,4,94,124,32,3,64
36,A Teenager In Love,Dion & The Belmonts,pop,1959,79,38,56,-9,13,62,158,67,3,63
37,Cheek To Cheek,Ella Fitzgerald,adult standards,2000,122,31,66,-13,12,67,353,57,9,63
38,Smile,Nat King Cole,adult standards,1991,79,14,23,-19,30,26,173,86,3,63
39,"What'd I Say, Pt. 1 & 2",Ray Charles,soul,1959,88,68,54,-5,16,79,307,81,5,63
40,That'll Be The Day,Buddy Holly,rock,1958,115,64,54,-8,8,80,150,47,3,63
41,I Can't Stop Loving You,Ray Charles,soul,2009,79,28,31,-14,32,38,256,82,3,63
42,Rockin' Robin,Bobby Day,blues,1958,172,61,54,-13,23,94,160,30,11,63
43,Roll Over Beethoven,Chuck Berry,blues,1959,93,80,72,-10,21,84,145,84,19,63
44,Put Your Head on My Shoulder,Paul Anka,adult standards,1966,116,43,55,-9,8,49,155,91,3,62
45,Come Go With Me,The Del-Vikings,blues,1997,130,53,57,-9,9,58,162,71,4,62
46,Bye Bye Love,The Everly Brothers,adult standards,1964,170,52,55,-9,10,89,143,72,6,62
47,Yakety Yak - 2007 Remaster,The Coasters,blues,2007,121,83,64,-8,13,85,116,63,24,62
48,Splish Splash,Bobby Darin,adult standards,1958,148,94,65,-2,37,97,132,39,4,62
49,You Send Me - Mono,Sam Cooke,soul,1958,96,37,57,-8,13,41,166,88,3,61
50,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker,jazz,1956,103,3,44,-23,15,21,180,92,4,61
51,Dream Lover,Bobby Darin,adult standards,2004,132,77,53,-2,44,72,151,72,5,61
52,"Shout, Pts. 1 & 2",The Isley Brothers,soul,1959,139,87,49,-7,88,42,269,75,9,61
53,Papa Loves Mambo,Perry Como,adult standards,1975,81,50,67,-10,40,75,162,51,13,61
54,Twilight Time - Single Version,The Platters,adult standards,1958,116,36,46,-13,24,28,168,75,5,61
55,Mess Around,Ray Charles,soul,1957,149,96,56,-3,6,91,160,44,6,61
56,Blueberry Hill,Fats Domino,blues,1959,133,50,49,-10,16,83,148,74,3,61
57,"Come On, Let's Go",Ritchie Valens,rock,1959,81,72,62,-8,13,81,125,79,4,61
58,C’Mon Everybody,Eddie Cochran,rock,1960,175,70,63,-10,19,86,118,12,5,61
59,Ain't That A Shame,Fats Domino,blues,1959,123,50,49,-9,7,94,152,77,3,60
60,"The Theme from ""A Summer Place""",Percy Faith & His Orchestra,adult standards,1989,186,33,33,-15,49,87,143,59,3,60
61,Stupid Cupid,Connie Francis,adult standards,1996,137,73,61,-7,4,96,135,83,4,60
62,Teach Me Tonight,Dinah Washington,jazz,1988,73,23,56,-11,14,40,167,81,8,60
63,True Love Ways,Buddy Holly,rock,2006,83,14,28,-19,21,31,168,80,3,60
64,Reet Petite,Jackie Wilson,soul,1958,84,66,66,-7,30,87,169,45,13,60
65,Strange Fruit,Billie Holiday,adult standards,1957,101,4,31,-23,21,6,193,99,3,59
66,Fever,Peggy Lee,adult standards,1988,137,9,74,-19,11,35,201,9,16,59
67,Sh-Boom,The Crew Cuts,blues,1996,130,24,67,-12,23,58,169,86,7,59
68,Sixteen Tons,Tennessee Ernie Ford,adult standards,1997,144,32,69,-15,25,38,158,80,21,59
69,Donna - Single Version,Ritchie Valens,rock,1959,100,23,47,-13,11,29,151,86,3,59
70,Lollipop,The Chordettes,pop,2010,143,59,65,-6,44,83,131,59,12,59
71,Peggy Sue,Buddy Holly,rock,1958,148,42,68,-8,12,49,151,95,3,59
72,Little Darlin',The Diamonds,r&b,1996,153,59,63,-11,33,66,129,54,4,59
73,Pennies From Heaven,Louis Prima,adult standards,1957,186,41,52,-12,7,92,142,45,19,58
74,In The Still of the Night,The Five Satins,blues,1993,109,33,43,-11,11,32,188,88,4,58
75,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),Doris Day,adult standards,1957,148,13,39,-18,9,25,223,92,4,58
76,Heartbreak Hotel,Elvis Presley,rock,1958,94,21,70,-12,11,72,128,84,7,58
77,Rags to Riches,Tony Bennett,adult standards,2011,78,44,41,-9,6,57,168,91,5,58
78,Little Bitty Pretty One,Thurston Harris,r&b,1959,88,88,70,1,6,89,143,78,24,58
