Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Creep,Radiohead,alternative rock,1993,92,43,52,-10,13,10,239,1,4,89
2,Gangsta's Paradise,Coolio,g funk,1995,80,51,65,-10,40,39,241,7,6,88
3,Iris,The Goo Goo Dolls,neo mellow,1998,156,72,32,-8,9,50,290,0,4,86
4,Smells Like Teen Spirit,Nirvana,grunge,1991,117,91,50,-5,11,72,302,0,6,85
5,Californication,Red Hot Chili Peppers,alternative rock,1999,96,77,59,-3,13,33,330,0,3,85
6,Still D.R.E.,Dr. Dre,g funk,1999,93,78,82,-3,5,53,271,16,23,85
7,Barbie Girl,Aqua,bubblegum dance,1997,130,88,81,-11,37,96,198,2,4,84
8,Under the Bridge,Red Hot Chili Peppers,alternative rock,1991,85,35,56,-13,14,46,264,6,5,84
9,All The Small Things,blink-182,alternative metal,1999,149,90,43,-5,61,68,167,1,5,84
10,Basket Case,Green Day,modern rock,1994,85,94,44,-3,9,78,182,0,6,84
11,Zombie,The Cranberries,irish rock,1994,167,65,31,-9,37,31,306,2,4,84
12,Scar Tissue,Red Hot Chili Peppers,alternative rock,1999,89,72,60,-5,11,55,216,8,3,83
13,No Scrubs,TLC,atl hip hop,1999,93,68,74,-4,7,59,214,3,10,83
14,Maria Maria (feat. The Product G&B),Santana,blues rock,1999,98,60,78,-6,3,68,262,4,13,83
15,Song 2 - 2012 Remaster,Blur,alternative rock,1997,130,79,67,-7,8,92,121,0,7,83
16,Otherside,Red Hot Chili Peppers,alternative rock,1999,123,80,46,-3,8,51,255,0,6,83
17,Enter Sandman,Metallica,hard rock,1991,123,83,58,-9,6,60,331,0,3,83
18,Fade Into You,Mazzy Star,dream pop,1993,157,33,42,-14,7,18,296,25,3,82
19,Lovefool,The Cardigans,lilith,1996,112,64,70,-6,35,89,194,3,3,82
20,Kiss Me,Sixpence None The Richer,lilith,1997,100,75,53,-7,7,42,209,2,3,82
21,It Wasn't Me,Shaggy,pop rap,2000,95,61,85,-5,31,65,228,6,7,82
22,Bitter Sweet Symphony - Remastered 2016,The Verve,britpop,1997,171,92,36,-6,41,52,357,3,5,82
23,Santeria,Sublime,rap rock,1996,91,77,68,-5,19,57,183,3,4,81
24,Come As You Are,Nirvana,grunge,1991,120,82,50,-6,9,54,219,0,4,81
25,Wonderwall - Remastered,Oasis,beatlesque,1995,174,90,38,-4,19,47,259,0,4,81
26,What's My Age Again?,blink-182,alternative metal,1999,158,95,39,-7,9,47,148,1,7,81
27,Good Riddance (Time of Your Life),Green Day,modern rock,1997,95,43,48,-8,16,65,153,18,3,81
28,Mr. Jones,Counting Crows,neo mellow,1993,142,82,58,-7,28,73,272,18,4,81
29,Heart-Shaped Box,Nirvana,grunge,1993,203,64,26,-10,9,38,281,20,6,80
30,"Nuthin' But A ""G"" Thang",Dr. Dre,g funk,1992,95,82,67,-4,15,68,238,0,29,80
31,No Diggity,Blackstreet,boy band,1996,89,65,87,-5,28,67,305,30,29,80
32,Linger,The Cranberries,irish rock,1993,95,43,44,-15,14,20,275,8,3,80
33,Killing Me Softly With His Song,Fugees,east coast hip hop,1996,92,29,77,-17,57,51,299,3,14,80
34,Even Flow,Pearl Jam,alternative metal,1991,105,94,39,-7,30,27,293,0,8,80
35,Learn to Fly,Foo Fighters,alternative metal,1999,136,92,47,-4,26,54,235,0,4,80
36,Self Esteem,The Offspring,alternative metal,1994,105,86,49,-8,36,71,258,2,5,80
37,Don't Speak,No Doubt,dance pop,1995,76,71,52,-7,18,54,264,25,4,80
